20180704235544: Adding Event: From:AC2CZ to PFS3-11 Ctrl: 3 Type: UI PID: bd FLG: 10 FILE: 0 BLK_SIZE: f4 First HOLE: Mon Mar 26 00:20:33 EDT 2018 - Mon Jan 18 22:14:07 EST 2038
20180704235544: Adding Event: Open ABCD: 
20180704235545: Adding Event: PB: Empty..
20180704235545: Adding Event: OK AC2CZ.
20180704235546: Adding Event: PB: Empty..
20180704235546: Adding Event: PB: Empty..
20180704235546: Adding Event: OK AC2CZ.
20180704235546: Adding Event: PB: AC2CZ.
20180704235546: Adding Event: Open ABCD: 
20180704235547: Adding Event: PB: Empty..
20180704235547: Adding Event: OK KB2M.
20180704235547: Adding Event: PB: KB2M.
20180704235547: Adding Event: OK AC2CZ.
20180704235547: Adding Event: PB: AC2CZ.
20180704235551: Adding Event: PB: Empty..
20180704235551: Adding Event: OK KB2M.
20180704235551: Adding Event: PB: KB2M.
20180704235551: Adding Event: PB: Empty..
20180704235552: Adding Event: Open ABCD: 
20180704235552: Adding Event: PB: Empty..
20180704235552: Adding Event: PB: Empty..
20180704235552: Adding Event: OK KB2M.
20180704235552: Adding Event: PB: KB2M.
20180704235553: Adding Event: PB: Empty..
20180704235553: Adding Event: OK KB2M.
20180704235553: Adding Event: PB: KB2M.
20180704235553: Adding Event: PB: Empty..
20180704235553: Adding Event: PB: Empty..
20180704235553: Adding Event: Open ABCD: 
20180704235553: Adding Event: PB: Empty..
20180704235553: Adding Event: PB: Empty..
20180704235553: Adding Event: OK KB2M.
20180704235553: Adding Event: PB: KB2M.
20180704235553: Adding Event: OK AC2CZ.
20180704235553: Adding Event: PB: AC2CZ.
20180704235553: Adding Event: PB: Empty..
20180704235553: Adding Event: OK AC2CZ.
20180704235553: Adding Event: PB: AC2CZ.
20180704235554: Adding Event: OK KB2M.
20180704235554: Adding Event: PB: KB2M.
20180704235555: Adding Event: PB: Empty..
20180704235555: Adding Event: OK AC2CZ.
20180704235555: Adding Event: PB: AC2CZ.
20180704235555: Adding Event: Open ABCD: 
20180704235555: Adding Event: PB: Empty..
20180704235555: Adding Event: Open ABCD: 
20180704235555: Adding Event: PB: Empty..
20180704235555: Adding Event: OK AC2CZ.
20180704235555: Adding Event: PB: AC2CZ.
20180704235556: Adding Event: PB: Empty..
20180704235556: Adding Event: Open ABCD: 
20180704235556: Adding Event: OK AC2CZ.
20180704235556: Adding Event: PB: AC2CZ.
20180704235557: Adding Event: PB: Empty..
20180704235557: Adding Event: OK AC2CZ.
20180704235557: Adding Event: PB: Empty..
20180704235557: Adding Event: PB: Empty..
20180704235557: Adding Event: OK AC2CZ.
20180704235557: Adding Event: PB: AC2CZ.
20180704235558: Adding Event: PB: Empty..
20180704235558: Adding Event: OK AC2CZ.
20180704235558: Adding Event: PB: AC2CZ.
20180704235603: Adding Event: Open ABCD: 
20180704235604: Adding Event: PB: AC2CZ.
20180704235610: Adding Event: PB: AC2CZ.
20180704235613: Adding Event: PB: AC2CZ.
20180704235619: Adding Event: PB: AC2CZ.
20180704235624: Adding Event: PB: AC2CZ.
20180704235627: Adding Event: PB: AC2CZ.
20180704235628: Adding Event: Open ABCD: 
20180704235632: Adding Event: PB: AC2CZ.
20180704235634: Adding Event: PB: Empty..
20180704235634: Adding Event: OK AC2CZ.
20180704235634: Adding Event: PB: AC2CZ.
20180704235635: Adding Event: PB: Empty..
20180704235635: Adding Event: OK AC2CZ.
20180704235635: Adding Event: PB: AC2CZ.
20180704235635: Adding Event: PB: Empty..
20180704235635: Adding Event: OK AC2CZ.
20180704235635: Adding Event: PB: AC2CZ.
20180704235635: Adding Event: Open ABCD: 
20180704235635: Adding Event: PB: Empty..
20180704235635: Adding Event: OK AC2CZ.
20180704235636: Adding Event: PB: AC2CZ.
20180704235636: Saved directory to disk
20180704235637: Adding Event: Open ABCD: 
